"","score","text","review"
"158",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"159",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"160",0,"RT @firstpost: The #RBI said the decision to discontinue the practice of #LoUs and #LettersofComfort (LoCs) for trade finance comes into fo…","neutral"
"161",-1,"#PNBScam fallout. #RBI has discontinued Letters of Undertaking (LoUs) and Letters of Comfort (LoCs) for Trade credits.","negative"
"162",-1,"Another horrible &amp; tyrannical order by RBI/Govt.!!
Its like punishing the whole class just because 1-2 student didn… https://t.co/xqksc9r8l4","negative"
"163",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"164",0,"RBI bans banks from issuing Letters of Understanding after #NiravModi and his uncle #MehulChoksi's defraud of PNB.… https://t.co/sIr0f5jjgf","neutral"
"165",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"166",0,"RT @firstpost: The #RBI said the decision to discontinue the practice of #LoUs and #LettersofComfort (LoCs) for trade finance comes into fo…","neutral"
"167",0,"#PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"168",0,"The #RBI said the decision to discontinue the practice of #LoUs and #LettersofComfort (LoCs) for trade finance come… https://t.co/XGNhDxRjBM","neutral"
"169",0,"Death of a banking instrument: RBI banned Letter of Undertaking or Letter of Comfort for trade finance for importin… https://t.co/Cmv9xHYuNU","neutral"
"170",-1,"LOU banned by @RBI knew they would come up with stupid ideas once horse has bolted. RBI is a paper tiger, ineffecti… https://t.co/HFA0pbDxBY","negative"
"171",-1,"RT @iloveindiatoo: @OfficeOfRG ji, @INCIndia has planted the poisonous tree &amp; you are targeting those who have tried to sell the fruits of…","negative"
"172",0,"RT @vikramwkarve: #BJP Govt made an appeal to give up #LPG subsidy.
An old lady refused - saying that any money given to government is gene…","neutral"
